Kommun,ratio
2039,0.0010214238217175274
2061,0.001422573539415927
2062,0.0018687719155057007
2080,0.004809944626867386
2081,0.011778217861182863
2082,0.0006566908299114043
2083,0.002035834280476818
2084,0.006821233976772111
2085,0.0020049073195473133
2101,0.0006675547985467508
2104,0.0022373418224256357
2121,0.0010790257348955274
2132,0.0009117923780228136
2161,0.0016487586343279653
2180,0.019949964210929302
2181,0.004650138799442592
2182,0.007742498068602695
2183,0.001996205985594271
2184,0.009587709962002578
2260,0.0030567139046132562
2262,0.010150259519892466
2280,0.002126066648737513
2281,0.021190956726256434
2282,0.006730995737020489
2283,0.001570413253960057
2284,0.021430190649706544
2303,0.0005289355238706856
2305,0.0006698622298008772
2309,0.0010286032824704811
2313,0.0012226518174557662
2321,0.001184575320973083
2326,0.0008556144990271937
2361,0.0014073942189893847
2380,0.0045441409821666764
2401,0.0009101250398926945
2403,0.0002517368419316767
2404,0.000528801852229039
2409,0.0005681055549951016
2417,0.0005541092285971316
2418,0.000609110948065857
2421,0.0007486596790368575
2422,0.0002820423344472439
2425,0.000262138138314044
2460,0.0007575641938852026
2462,0.000677466852614036
2463,0.00037199208061227274
2480,0.01278715974942923
2481,0.001329929346660968
2482,0.010205163896222154
2505,0.0007103963872149441
2506,0.0003240981063420929
2510,0.0006775418812128957
2513,0.00046817385743017174
2514,0.0071768600489925055
2518,0.0003341287400914839
2521,0.0010654072536712784
2523,0.008284598380647245
2560,0.0008011771110455811
2580,0.03158022318960751
2581,0.015439337354009668
2582,0.0029024365884473607
2583,0.0007463392255776415
2584,0.010132520754047409
