hour,value
2265,7.384685298795728e-05
2266,7.384685298795728e-05
2267,7.384685298795728e-05
2268,7.384685298795728e-05
2269,7.384685298795728e-05
2270,7.384685298795728e-05
2271,7.384685298795728e-05
2272,7.384685298795728e-05
2273,7.384685298795728e-05
2274,7.384685298795728e-05
2275,7.384685298795728e-05
2276,7.384685298795728e-05
2277,7.384685298795728e-05
2278,7.384685298795728e-05
2279,7.384685298795728e-05
2280,7.384685298795728e-05
2281,7.384685298795728e-05
2282,7.384685298795728e-05
2283,7.384685298795728e-05
2284,7.384685298795728e-05
2285,7.384685298795728e-05
2286,7.384685298795728e-05
2287,7.384685298795728e-05
2288,7.384685298795728e-05
2289,7.384685298795728e-05
2290,7.384685298795728e-05
2291,7.384685298795728e-05
2292,7.384685298795728e-05
2293,7.384685298795728e-05
2294,7.384685298795728e-05
2295,7.384685298795728e-05
2296,7.384685298795728e-05
2297,7.384685298795728e-05
2298,7.384685298795728e-05
2299,7.384685298795728e-05
2300,7.384685298795728e-05
2301,7.384685298795728e-05
2302,7.384685298795728e-05
2303,7.384685298795728e-05
2304,7.384685298795728e-05
2305,7.384685298795728e-05
2306,7.384685298795728e-05
2307,7.384685298795728e-05
2308,7.384685298795728e-05
2309,7.384685298795728e-05
2310,7.384685298795728e-05
2311,7.384685298795728e-05
2312,7.384685298795728e-05
2313,7.384685298795728e-05
2314,7.384685298795728e-05
2315,7.384685298795728e-05
2316,7.384685298795728e-05
2317,7.384685298795728e-05
2318,7.384685298795728e-05
2319,7.384685298795728e-05
2320,7.384685298795728e-05
2321,7.384685298795728e-05
2322,7.384685298795728e-05
2323,7.384685298795728e-05
2324,7.384685298795728e-05
2325,7.384685298795728e-05
2326,7.384685298795728e-05
2327,7.384685298795728e-05
2328,7.384685298795728e-05
2329,7.384685298795728e-05
2330,7.384685298795728e-05
2331,7.384685298795728e-05
2332,7.384685298795728e-05
2333,7.384685298795728e-05
2334,7.384685298795728e-05
2335,7.384685298795728e-05
2336,7.384685298795728e-05
2337,7.384685298795728e-05
2338,7.384685298795728e-05
2339,7.384685298795728e-05
2340,7.384685298795728e-05
2341,7.384685298795728e-05
2342,7.384685298795728e-05
2343,7.384685298795728e-05
2344,7.384685298795728e-05
2345,7.384685298795728e-05
2346,7.384685298795728e-05
2347,7.384685298795728e-05
2348,7.384685298795728e-05
2349,7.384685298795728e-05
2350,7.384685298795728e-05
